comments
请问那个超能力黑色小胖男孩出周边吗
英雄迟暮什么的太残忍了。金刚狼3：金刚狼大战精钢狼。狼叔被埋土里不是一次两次了，绝对不是死了，只是愈合得比较缓慢。我这样坚信着，所以我没有哭。
查尔斯：扎心了，老铁。
第一次在影院，哭到整个人都大崩溃，如果不是旁边的陌生人拉我起来，我应该会哭到彻底昏厥....看狼叔带着老花镜，一瘸一拐，以及病重的老查尔斯，眼泪就止不住，实在不忍看英雄迟暮，太悲壮了....#真的想看完整无删减版#
有多少人看到最后坟墓上歪倒的十字架泪奔的？
这样结尾也是蛮好的。超级英雄也是人，也有生老病死。暮年的金刚狼真是烟火中带着柔情。
这片跟你是不是粉丝毫无关系，因为你会理解这种感情，会被它想给你讲的故事打动，我们知道英雄迟暮知道时间传承，但当这一天真的到来的时候，当这一天被赤裸裸的展现在你面前的时候，你真的无法坦然的接受，尤其他们曾经是那么好的一群人。我不是说，这片有多好有多完美，只是现在我的世界好像塌了一样
X教授最后一段台词尤为动人，所以分级才是超级英雄电影最大的敌人？
金刚狼3：未来白他妈逆转了。
整个X战警系列最好看的一部，最后的武士，英雄不再。致敬西部片《原野奇侠》，基本抛弃了科幻片，只剩下X博士、金刚狼和小女孩的羁绊，离别和守护，有些像bvs里的韦恩。小女孩选角特别好，有凤凰和罗根两个人的韧劲。最后念《原》的台词的时候，就是罗根的last word吧。 
金刚狼的谢幕演出，拍得很文艺很煽情，当然血腥指数也爆表了。被衰老病痛折磨的超级英雄，即使是死也要如秋叶般壮美。X教授让我泪奔了，Oh Charles...
优步老司机长途历险记
太牛逼了……我居然有生之年看到X战警全死在荧幕上了……这个系列也算是画上了一个完美的句号了吧，阿狼演技最用力的一部
三星半，不知道是不是删减的原因，节奏略微有点不对：文艺式煽情太多，动作戏释放却不够，略有失衡。不过好看的地方还是好，尤其是，这是一部非常不同的超级英雄片，甚至已经不是超级英雄电影了。超能力对他们已经没有太多帮助，他们更像是普通人，面对普通人都会面对的英雄迟暮，落魄与老去，真是伤感
看着这部，再回想泽维尔天才青少年学校里，坐在窗边看着操场上打球的学生们，带着无限希冀的笑脸的查尔斯说，未来他们会和人类融合在一起，一起学习生活…实在是太令人难过了。X系列在我心里一直是假的漫威，没什么英雄末路，他们并不是超英，他们只是这样相互扶持着艰难的过完了自己的一生而已。
X men 都变成墨西哥人了，心疼川普的墙
真的，好虐好虐。如果不是超英，进柏林主竞赛都足够了
4.5  最后一幕的「X」。严厉“抵制”这种从头煽到尾、拳拳打到心的反超级英雄电影，太犯规了，感觉自己的精神一直都被蹂躏，哭到爆炸，还怎么客观看待。希望《金刚狼3》不要变成一个转折点，开启一“迟暮”时代，再来类似风格的真的不敢再去看了QAQ
"走了西部公路片的形式，整体基调和以往漫改都略不同。用公路片的形式，也很好的串起了""X-men""本身漫画和电影。电影的漫画基础是《暮狼归乡》和《X-23失落的纯真》。以这样的形式结束他们，刚好。狼叔真的是从小学看到工作的超级英雄啊！泪目，X！"
看到金刚狼戴着老花眼镜开车养一家老小的时候，满脑子都是复联2里大家在史塔克大楼喝酒轰趴的场景，想了一下这大概就是创业型公司（？）和国企（？）的区别吧……
早知道这样当初还逆转个毛的未来ಥ_ಥ现在知道什么叫做团灭也是HE了ಥ_ಥ查尔斯你还是跟艾瑞克手拉手化灰吧ಥ_ಥ我准了准了准了ಥ_ಥ
老查尔斯最感人
"多年前第一次看金刚狼，我当时想，如果Logan在乎的人都离他而去，那他的生命力岂不是一道诅咒，让痛苦漫无尽头？这部电影给了我答案。Logan不需要爱情，他需要亲情。X教授即便在最后，也满含父爱地牵着金刚狼的手，教他什么是温暖，什么是家。永别了, be better than what they made u to be, my love"
狼叔吃完药跑了几步路，反派就得意洋洋地问：“哈哈药效快完了吧，没有错是我们让广电局把药效给删没的。 ”
2017Berlinale第三发～即使略显套路，纵然狼叔老矣，仍能触动心底的涟漪。最不漫威的漫威片，超级英雄身份成了摆设，生老病死占据了上风，人情味凸显全片基调，这个狼人不太冷
漫威都开始走家庭温情路线了。深度有了，情怀也有了，狼叔没了！
金刚狼版《杀手里昂》，已经忘记前传的情节了，这部的剧情和节奏也一般般（甚至可以吐槽说问题很多），可看到最后一幕依然哭到不行，超级英雄也会生老病死，最后一搏之后再没有逆转。
没想到查尔斯才是最大虐点所在，以前每次他有危险的时候都会有万磁王出现，还以为会这样相爱相杀一辈子……有时候就是这样，两个人在一起，一个人先走了，两个人的一生都随之结束了。不行了我要去看下《第一战》缓一缓，现在看来海滩离婚都甜的不行。
这片子的精髓镜头一定就是国内删减版删减掉的那些。真的很有美国末日的感觉
还有什么能比岁月更残忍的东西呢？美人迟暮，英雄白头，岁月无情，凡躯易老
简直在超级英雄片里独树一帜，fox将超级英雄电影拍出了另类的悲壮，超级英雄不仅仅是拼特效，更是那种精神，金刚狼一直领导者我们激励着我们，最后的X23摆出的那个X，也许就是对变种时代的一个告别吧，别了，狼叔。
三星半，告别过去单一超级英雄片模式，转以悲情的西部挽歌抒写英雄迟暮，与东木《不可饶恕》&约翰韦恩遗作《枪神》有共通之处。上有老下有小的安排，也为狼叔注入了更多人性色彩，难怪引用了经典西部片《原野奇侠》（X教授最爱影片），英雄教给孩子要一心向善，在黑人家铲除恶霸也受到《原》的影响。
剧照和概念海报打100星；预告片打5星；正片打2星。我真的不想承认狼叔的收官之作大捞情怀钱啊。
看着看着就串到了《最后生还者》，人物设置一模一样。
漸漸地Marvel和DC出的電影都很少看了。總覺得每次看完不是爽而都是累得很！這部也不例外。
